id,phone_number,receiver,starttimestamp,endtimestamp,call_length,direction
3562,805-650-4472,582-974-7496,4/29/2017 9:21,4/29/2017 9:21,0:00:00,missed call
3563,835-332-5666,460-840-4783,3/18/2017 12:15,3/18/2017 12:18,0:02:55,incoming
3564,668-886-4214,988-692-1269,9/29/2018 5:55,9/29/2018 6:35,0:39:52,incoming
3565,105-665-8273,646-843-5701,4/27/2017 4:43,4/27/2017 5:10,0:27:36,incoming
3566,835-332-5666,105-665-8273,6/11/2018 9:03,6/11/2018 9:53,0:50:40,incoming
3567,582-974-7496,988-692-1269,3/13/2017 20:33,3/13/2017 20:33,0:00:00,missed call
3568,747-211-9216,460-840-4783,2/16/2017 23:00,2/16/2017 23:00,0:00:00,missed call
3569,460-840-4783,582-974-7496,2/23/2017 14:46,2/23/2017 15:02,0:16:22,outgoing
3570,835-332-5666,646-843-5701,8/10/2017 14:27,8/10/2017 14:27,0:00:00,missed call
3571,668-886-4214,835-332-5666,8/24/2018 12:20,8/24/2018 12:52,0:32:24,outgoing
3572,747-211-9216,988-692-1269,9/26/2018 2:55,9/26/2018 3:34,0:38:25,incoming
3573,193-991-1842,460-840-4783,2/21/2017 19:02,2/21/2017 19:02,0:00:00,missed call
3574,582-974-7496,193-991-1842,5/17/2019 21:46,5/17/2019 21:54,0:07:53,incoming
3575,668-886-4214,747-211-9216,1/3/2017 2:59,1/3/2017 3:16,0:16:59,incoming
3576,646-843-5701,747-211-9216,3/26/2019 16:26,3/26/2019 16:26,0:00:00,missed call
3577,805-650-4472,835-332-5666,1/15/2017 12:38,1/15/2017 12:52,0:13:30,incoming
3578,835-332-5666,646-843-5701,5/25/2018 19:53,5/25/2018 20:09,0:16:15,outgoing
3579,835-332-5666,582-974-7496,5/18/2019 17:24,5/18/2019 17:25,0:01:39,outgoing
3580,668-886-4214,747-211-9216,7/14/2018 4:25,7/14/2018 4:39,0:13:40,outgoing
3581,747-211-9216,988-692-1269,4/26/2018 15:13,4/26/2018 15:53,0:39:47,incoming
3582,835-332-5666,747-211-9216,5/22/2017 12:35,5/22/2017 12:35,0:00:00,missed call
3583,582-974-7496,105-665-8273,10/21/2018 5:58,10/21/2018 6:21,0:22:52,incoming
3584,209-935-3693,381-589-4551,4/14/2018 0:37,4/14/2018 0:37,0:00:00,missed call
3585,426-342-4940,209-935-3693,1/15/2019 19:10,1/15/2019 19:48,0:38:20,outgoing
3586,422-733-0037,424-338-1888,4/20/2017 15:01,4/20/2017 15:01,0:00:00,missed call
3587,957-659-2812,424-338-1888,5/18/2017 23:16,5/18/2017 23:16,0:00:00,missed call
3588,320-924-6906,757-336-8759,8/16/2017 2:55,8/16/2017 3:03,0:07:21,incoming
3589,424-338-1888,957-659-2812,3/29/2018 21:35,3/29/2018 21:35,0:00:00,missed call
3590,426-342-4940,209-935-3693,12/31/2018 17:57,12/31/2018 17:57,0:00:00,missed call
3591,426-342-4940,757-336-8759,7/7/2017 15:02,7/7/2017 15:43,0:40:14,outgoing
3592,424-338-1888,957-659-2812,5/8/2018 23:54,5/9/2018 0:20,0:26:10,outgoing
3593,426-342-4940,757-336-8759,4/5/2018 9:16,4/5/2018 10:08,0:52:06,outgoing
3594,957-659-2812,757-336-8759,2/17/2017 1:26,2/17/2017 1:49,0:22:47,incoming
3595,957-659-2812,426-342-4940,1/13/2019 0:20,1/13/2019 1:04,0:43:57,outgoing
3596,381-589-4551,931-318-8690,10/28/2017 20:42,10/28/2017 21:04,0:21:30,incoming
3597,381-589-4551,957-659-2812,4/28/2017 17:19,4/28/2017 17:19,0:00:00,missed call
3598,320-924-6906,381-589-4551,8/28/2017 3:59,8/28/2017 4:07,0:08:12,outgoing
3599,381-589-4551,320-924-6906,4/13/2018 16:25,4/13/2018 16:38,0:12:41,outgoing
3600,426-342-4940,422-733-0037,11/13/2017 5:36,11/13/2017 5:37,0:00:38,incoming
3601,209-935-3693,757-336-8759,4/25/2017 5:13,4/25/2017 5:31,0:17:14,incoming
3602,422-733-0037,209-935-3693,2/2/2018 15:58,2/2/2018 16:24,0:26:39,outgoing
3603,209-935-3693,424-338-1888,9/23/2017 7:02,9/23/2017 7:06,0:03:39,outgoing
3604,426-342-4940,825-843-6648,3/31/2018 7:19,3/31/2018 7:57,0:38:11,outgoing
3605,426-342-4940,825-843-6648,8/30/2017 1:01,8/30/2017 1:01,0:00:00,missed call
3606,422-733-0037,381-589-4551,6/22/2017 14:44,6/22/2017 14:44,0:00:00,missed call
3607,320-924-6906,424-338-1888,4/11/2017 2:32,4/11/2017 3:28,0:55:31,incoming
3608,757-336-8759,209-935-3693,5/15/2017 14:27,5/15/2017 14:52,0:25:42,outgoing
3609,209-935-3693,381-589-4551,3/17/2019 1:41,3/17/2019 2:27,0:45:55,incoming
3610,825-843-6648,931-318-8690,6/22/2017 20:33,6/22/2017 20:33,0:00:00,missed call
3611,825-843-6648,381-589-4551,12/27/2018 19:30,12/27/2018 20:21,0:51:21,outgoing
3612,757-336-8759,426-342-4940,3/24/2017 8:41,3/24/2017 8:41,0:00:00,missed call
3613,426-342-4940,209-935-3693,3/17/2019 8:57,3/17/2019 9:38,0:41:03,incoming
3614,426-342-4940,957-659-2812,5/4/2019 0:07,5/4/2019 0:07,0:00:00,missed call
3615,209-935-3693,320-924-6906,10/14/2017 1:40,10/14/2017 1:40,0:00:00,missed call
3616,424-338-1888,757-336-8759,3/14/2019 16:57,3/14/2019 16:57,0:00:00,missed call
3617,825-843-6648,381-589-4551,1/24/2017 21:02,1/24/2017 21:02,0:00:00,missed call
3618,957-659-2812,825-843-6648,5/23/2017 18:43,5/23/2017 18:57,0:14:07,incoming
3619,424-338-1888,320-924-6906,9/11/2018 13:06,9/11/2018 13:58,0:52:15,outgoing
3620,757-336-8759,957-659-2812,10/24/2017 14:14,10/24/2017 14:14,0:00:00,missed call
3621,424-338-1888,757-336-8759,5/9/2019 13:59,5/9/2019 14:33,0:33:19,incoming
3622,422-733-0037,381-589-4551,8/1/2017 19:28,8/1/2017 19:46,0:18:00,incoming
3623,957-659-2812,757-336-8759,6/2/2018 13:48,6/2/2018 13:51,0:02:52,outgoing
3624,426-342-4940,209-935-3693,9/19/2018 20:25,9/19/2018 21:14,0:49:13,incoming
3625,931-318-8690,209-935-3693,11/27/2018 11:50,11/27/2018 11:55,0:05:27,outgoing
3626,320-924-6906,381-589-4551,10/31/2018 8:05,10/31/2018 8:31,0:26:30,outgoing
3627,825-843-6648,422-733-0037,10/8/2018 8:15,10/8/2018 8:46,0:30:17,incoming
3628,931-318-8690,422-733-0037,8/4/2018 9:07,8/4/2018 10:00,0:52:32,outgoing
3629,931-318-8690,209-935-3693,5/21/2018 15:15,5/21/2018 15:19,0:04:16,incoming
3630,825-843-6648,426-342-4940,4/12/2019 16:06,4/12/2019 16:06,0:00:00,missed call
3631,381-589-4551,931-318-8690,5/8/2019 1:03,5/8/2019 1:41,0:37:47,incoming
3632,209-935-3693,957-659-2812,6/29/2018 5:58,6/29/2018 5:58,0:00:00,missed call
3633,426-342-4940,825-843-6648,5/16/2019 14:21,5/16/2019 14:51,0:29:57,outgoing
3634,381-589-4551,931-318-8690,1/26/2017 17:44,1/26/2017 17:44,0:00:00,missed call
3635,209-935-3693,381-589-4551,2/16/2017 8:10,2/16/2017 8:51,0:41:21,incoming
3636,825-843-6648,426-342-4940,1/10/2019 18:07,1/10/2019 19:05,0:58:33,incoming
3637,209-935-3693,757-336-8759,7/13/2017 4:55,7/13/2017 5:19,0:23:25,outgoing
3638,757-336-8759,381-589-4551,12/2/2018 4:51,12/2/2018 5:03,0:11:32,incoming
3639,957-659-2812,424-338-1888,11/11/2017 17:47,11/11/2017 18:32,0:44:47,incoming
3640,825-843-6648,931-318-8690,10/22/2018 16:40,10/22/2018 16:40,0:00:00,missed call
3641,931-318-8690,209-935-3693,11/3/2017 5:26,11/3/2017 5:26,0:00:00,missed call
3642,426-342-4940,422-733-0037,11/10/2017 14:49,11/10/2017 14:49,0:00:00,missed call
3643,931-318-8690,209-935-3693,11/4/2017 3:15,11/4/2017 3:15,0:00:00,missed call
3644,825-843-6648,209-935-3693,5/6/2019 2:05,5/6/2019 2:06,0:01:20,outgoing
3645,422-733-0037,424-338-1888,9/5/2017 2:09,9/5/2017 2:37,0:27:59,incoming
3646,757-336-8759,957-659-2812,6/27/2018 4:29,6/27/2018 4:29,0:00:00,missed call
3647,320-924-6906,381-589-4551,3/7/2018 0:08,3/7/2018 1:02,0:53:29,incoming
3648,424-338-1888,320-924-6906,6/18/2017 10:33,6/18/2017 10:34,0:01:01,incoming
3649,426-342-4940,381-589-4551,3/4/2019 9:31,3/4/2019 9:31,0:00:00,missed call
3650,825-843-6648,381-589-4551,3/9/2019 19:51,3/9/2019 19:51,0:00:00,missed call
3651,426-342-4940,931-318-8690,2/10/2017 9:44,2/10/2017 9:53,0:08:50,outgoing
3652,426-342-4940,381-589-4551,10/26/2017 8:23,10/26/2017 8:41,0:17:22,incoming
3653,426-342-4940,422-733-0037,3/21/2019 7:55,3/21/2019 8:44,0:48:43,incoming
3654,209-935-3693,426-342-4940,6/15/2018 11:16,6/15/2018 11:34,0:18:41,incoming
3655,426-342-4940,320-924-6906,1/30/2017 10:34,1/30/2017 10:34,0:00:00,missed call
3656,209-935-3693,931-318-8690,7/28/2018 22:43,7/28/2018 23:35,0:52:10,incoming
3657,825-843-6648,931-318-8690,11/1/2018 7:00,11/1/2018 7:00,0:00:00,missed call
3658,757-336-8759,825-843-6648,7/17/2018 22:11,7/17/2018 22:11,0:00:00,missed call
3659,757-336-8759,931-318-8690,9/7/2017 6:34,9/7/2017 7:16,0:42:37,outgoing
3660,957-659-2812,757-336-8759,6/5/2017 23:21,6/6/2017 0:04,0:43:25,outgoing
3661,957-659-2812,825-843-6648,1/13/2017 15:55,1/13/2017 16:17,0:22:50,outgoing
3662,209-935-3693,931-318-8690,6/22/2018 5:16,6/22/2018 5:49,0:33:20,incoming
3663,757-336-8759,320-924-6906,1/15/2018 5:04,1/15/2018 5:40,0:35:24,outgoing
3664,381-589-4551,757-336-8759,5/29/2017 0:26,5/29/2017 0:33,0:06:17,outgoing
3665,825-843-6648,209-935-3693,9/2/2018 18:01,9/2/2018 18:55,0:53:56,outgoing
3666,931-318-8690,381-589-4551,7/21/2017 22:20,7/21/2017 22:32,0:12:07,incoming
3667,209-935-3693,424-338-1888,3/6/2018 4:15,3/6/2018 4:15,0:00:00,missed call
3668,931-318-8690,381-589-4551,9/1/2017 19:22,9/1/2017 19:35,0:13:02,incoming
3669,931-318-8690,320-924-6906,5/19/2017 16:35,5/19/2017 16:35,0:00:00,missed call
3670,426-342-4940,422-733-0037,6/7/2018 8:18,6/7/2018 8:59,0:40:15,incoming
3671,931-318-8690,209-935-3693,4/2/2018 2:46,4/2/2018 3:44,0:57:58,outgoing
3672,381-589-4551,426-342-4940,5/10/2019 4:58,5/10/2019 5:25,0:26:43,incoming
3673,757-336-8759,209-935-3693,7/17/2018 23:04,7/17/2018 23:38,0:34:16,outgoing
3674,931-318-8690,422-733-0037,4/17/2018 7:12,4/17/2018 7:12,0:00:00,missed call
3675,381-589-4551,931-318-8690,2/1/2018 17:52,2/1/2018 18:15,0:22:58,outgoing
3676,757-336-8759,424-338-1888,5/3/2018 13:34,5/3/2018 13:34,0:00:00,missed call
3677,422-733-0037,931-318-8690,3/15/2019 5:38,3/15/2019 5:38,0:00:00,missed call
3678,320-924-6906,381-589-4551,5/27/2018 0:46,5/27/2018 1:08,0:22:34,incoming
3679,424-338-1888,825-843-6648,2/17/2019 2:27,2/17/2019 3:09,0:42:31,incoming
3680,320-924-6906,957-659-2812,5/14/2018 14:35,5/14/2018 14:35,0:00:00,missed call
3681,422-733-0037,381-589-4551,3/2/2019 8:41,3/2/2019 8:41,0:00:00,missed call
3682,381-589-4551,757-336-8759,9/19/2018 18:50,9/19/2018 18:55,0:04:59,outgoing
3683,931-318-8690,422-733-0037,9/6/2018 13:11,9/6/2018 14:10,0:59:05,outgoing
3684,320-924-6906,426-342-4940,2/4/2018 2:59,2/4/2018 2:59,0:00:00,missed call
3685,422-733-0037,424-338-1888,3/23/2018 1:07,3/23/2018 1:46,0:39:08,outgoing
3686,426-342-4940,320-924-6906,1/12/2018 11:28,1/12/2018 12:25,0:57:17,incoming
3687,931-318-8690,825-843-6648,12/8/2017 12:37,12/8/2017 13:04,0:27:11,incoming
3688,825-843-6648,757-336-8759,2/22/2019 3:07,2/22/2019 3:19,0:11:41,incoming
3689,424-338-1888,757-336-8759,7/14/2018 23:28,7/15/2018 0:20,0:51:27,incoming
3690,381-589-4551,424-338-1888,7/16/2018 6:07,7/16/2018 6:55,0:48:34,incoming
3691,757-336-8759,381-589-4551,10/8/2017 23:17,10/8/2017 23:17,0:00:00,missed call
3692,320-924-6906,931-318-8690,8/30/2018 22:53,8/30/2018 22:53,0:00:00,missed call
3693,757-336-8759,209-935-3693,7/9/2018 19:40,7/9/2018 19:52,0:11:51,incoming
3694,381-589-4551,424-338-1888,3/26/2017 17:28,3/26/2017 17:43,0:14:54,incoming
3695,426-342-4940,209-935-3693,8/31/2018 3:21,8/31/2018 3:32,0:10:58,outgoing
3696,422-733-0037,424-338-1888,4/28/2018 17:48,4/28/2018 18:10,0:22:08,incoming
3697,957-659-2812,381-589-4551,3/11/2017 1:05,3/11/2017 1:05,0:00:00,missed call
3698,320-924-6906,426-342-4940,12/31/2018 7:20,12/31/2018 7:20,0:00:00,missed call
3699,381-589-4551,209-935-3693,11/25/2018 13:55,11/25/2018 14:46,0:50:58,incoming
3700,757-336-8759,320-924-6906,1/4/2017 12:33,1/4/2017 13:04,0:30:36,incoming
3701,757-336-8759,825-843-6648,6/6/2017 7:53,6/6/2017 7:56,0:03:32,incoming
3702,209-935-3693,931-318-8690,12/16/2018 19:17,12/16/2018 19:48,0:31:14,outgoing
3703,422-733-0037,381-589-4551,2/12/2018 20:12,2/12/2018 20:36,0:23:49,outgoing
3704,426-342-4940,957-659-2812,10/4/2017 21:22,10/4/2017 21:40,0:17:18,outgoing
3705,825-843-6648,957-659-2812,11/7/2017 3:46,11/7/2017 3:46,0:00:00,missed call
3706,757-336-8759,424-338-1888,2/6/2018 23:14,2/6/2018 23:14,0:00:00,missed call
3707,422-733-0037,426-342-4940,5/12/2019 21:46,5/12/2019 22:16,0:30:02,incoming
3708,931-318-8690,957-659-2812,1/19/2019 3:58,1/19/2019 4:30,0:32:07,incoming
3709,320-924-6906,424-338-1888,3/21/2017 4:44,3/21/2017 5:15,0:30:30,incoming
3710,422-733-0037,320-924-6906,11/11/2017 14:38,11/11/2017 14:50,0:11:30,incoming
3711,931-318-8690,957-659-2812,12/28/2017 18:23,12/28/2017 18:23,0:00:00,missed call
3712,381-589-4551,320-924-6906,11/4/2018 12:29,11/4/2018 13:19,0:50:47,incoming
3713,757-336-8759,426-342-4940,6/1/2017 5:05,6/1/2017 5:30,0:25:23,outgoing
3714,931-318-8690,422-733-0037,5/29/2018 12:04,5/29/2018 12:14,0:09:47,outgoing
3715,422-733-0037,757-336-8759,2/12/2017 8:35,2/12/2017 8:35,0:00:00,missed call
3716,381-589-4551,931-318-8690,1/24/2017 10:38,1/24/2017 10:50,0:12:01,outgoing
3717,320-924-6906,825-843-6648,10/7/2017 0:28,10/7/2017 0:28,0:00:00,missed call
3718,422-733-0037,931-318-8690,8/19/2018 21:18,8/19/2018 21:18,0:00:00,missed call
3719,381-589-4551,957-659-2812,12/6/2017 22:32,12/6/2017 22:55,0:23:34,outgoing
3720,424-338-1888,320-924-6906,2/6/2018 18:33,2/6/2018 18:33,0:00:00,missed call
3721,424-338-1888,422-733-0037,5/21/2017 0:50,5/21/2017 0:50,0:00:00,missed call
3722,320-924-6906,381-589-4551,8/10/2018 11:43,8/10/2018 11:43,0:00:15,outgoing
3723,957-659-2812,426-342-4940,2/17/2017 10:26,2/17/2017 10:26,0:00:00,missed call
3724,426-342-4940,757-336-8759,6/7/2017 17:56,6/7/2017 17:56,0:00:00,missed call
3725,424-338-1888,426-342-4940,5/28/2017 14:01,5/28/2017 14:01,0:00:00,missed call
3726,424-338-1888,422-733-0037,5/24/2019 9:19,5/24/2019 9:19,0:00:00,missed call
3727,424-338-1888,320-924-6906,1/4/2017 10:05,1/4/2017 10:47,0:42:01,incoming
3728,931-318-8690,957-659-2812,9/8/2018 23:06,9/8/2018 23:13,0:06:35,incoming
3729,422-733-0037,957-659-2812,3/6/2019 6:09,3/6/2019 6:09,0:00:00,missed call
3730,757-336-8759,381-589-4551,2/4/2018 12:20,2/4/2018 12:43,0:23:14,incoming
3731,757-336-8759,381-589-4551,12/10/2017 3:25,12/10/2017 4:17,0:51:06,incoming
3732,931-318-8690,424-338-1888,9/12/2017 15:33,9/12/2017 15:33,0:00:00,missed call
3733,825-843-6648,757-336-8759,1/30/2017 0:09,1/30/2017 0:09,0:00:00,missed call
3734,931-318-8690,320-924-6906,4/26/2017 12:53,4/26/2017 13:20,0:27:06,outgoing
3735,757-336-8759,957-659-2812,4/18/2019 21:03,4/18/2019 21:09,0:05:54,outgoing
3736,426-342-4940,320-924-6906,4/22/2017 19:57,4/22/2017 20:26,0:28:24,incoming
3737,957-659-2812,931-318-8690,1/15/2018 20:56,1/15/2018 21:47,0:51:28,incoming
3738,757-336-8759,931-318-8690,5/15/2018 22:51,5/15/2018 22:51,0:00:00,missed call
3739,957-659-2812,209-935-3693,3/31/2019 13:23,3/31/2019 14:05,0:41:30,outgoing
3740,957-659-2812,825-843-6648,5/28/2018 2:53,5/28/2018 3:17,0:24:40,incoming
3741,825-843-6648,424-338-1888,4/18/2018 13:01,4/18/2018 13:51,0:49:31,incoming
3742,381-589-4551,209-935-3693,9/28/2017 21:06,9/28/2017 21:31,0:25:01,outgoing
3743,381-589-4551,931-318-8690,5/13/2019 19:16,5/13/2019 19:16,0:00:00,missed call
3744,825-843-6648,957-659-2812,10/22/2017 0:54,10/22/2017 0:54,0:00:00,missed call
3745,825-843-6648,320-924-6906,11/30/2018 9:11,11/30/2018 9:25,0:13:25,outgoing
3746,209-935-3693,426-342-4940,4/18/2017 7:11,4/18/2017 7:19,0:08:52,incoming
3747,209-935-3693,931-318-8690,8/31/2017 13:42,8/31/2017 13:47,0:05:37,incoming
3748,931-318-8690,825-843-6648,6/26/2017 19:07,6/26/2017 19:07,0:00:00,missed call
3749,426-342-4940,825-843-6648,12/11/2017 15:06,12/11/2017 15:57,0:50:28,incoming
3750,209-935-3693,825-843-6648,12/7/2018 23:54,12/8/2018 0:14,0:19:28,incoming
3751,424-338-1888,757-336-8759,2/12/2019 4:33,2/12/2019 4:33,0:00:00,missed call
3752,209-935-3693,381-589-4551,4/5/2018 3:11,4/5/2018 3:56,0:44:53,outgoing
3753,931-318-8690,825-843-6648,9/11/2018 8:55,9/11/2018 9:13,0:17:04,incoming
3754,320-924-6906,209-935-3693,7/22/2017 14:03,7/22/2017 14:03,0:00:00,missed call
3755,424-338-1888,209-935-3693,12/13/2018 18:11,12/13/2018 19:06,0:54:50,outgoing
3756,757-336-8759,422-733-0037,5/15/2018 16:27,5/15/2018 16:41,0:13:55,outgoing
3757,209-935-3693,381-589-4551,4/2/2019 9:00,4/2/2019 9:58,0:57:15,outgoing
3758,209-935-3693,757-336-8759,3/30/2019 2:43,3/30/2019 3:15,0:31:56,outgoing
3759,825-843-6648,422-733-0037,7/28/2018 1:23,7/28/2018 1:35,0:11:20,incoming
3760,825-843-6648,209-935-3693,11/23/2017 20:00,11/23/2017 20:48,0:48:50,outgoing
3761,931-318-8690,320-924-6906,12/21/2018 15:34,12/21/2018 15:59,0:24:50,outgoing
3762,757-336-8759,931-318-8690,7/30/2018 2:18,7/30/2018 2:32,0:13:47,incoming
3763,931-318-8690,424-338-1888,3/19/2017 22:13,3/19/2017 22:23,0:10:22,outgoing
3764,426-342-4940,320-924-6906,6/19/2017 21:11,6/19/2017 21:11,0:00:00,missed call
3765,931-318-8690,320-924-6906,4/7/2019 4:13,4/7/2019 5:00,0:46:58,outgoing
3766,757-336-8759,825-843-6648,8/28/2017 19:55,8/28/2017 20:07,0:12:13,incoming
3767,757-336-8759,381-589-4551,1/1/2019 22:15,1/1/2019 22:51,0:35:54,incoming
3768,931-318-8690,757-336-8759,9/28/2018 9:10,9/28/2018 9:10,0:00:00,missed call
3769,422-733-0037,757-336-8759,3/10/2019 20:57,3/10/2019 20:57,0:00:00,missed call
3770,381-589-4551,209-935-3693,4/7/2017 3:46,4/7/2017 3:46,0:00:00,missed call
3771,424-338-1888,957-659-2812,10/3/2018 18:26,10/3/2018 18:51,0:25:37,incoming
3772,426-342-4940,757-336-8759,8/27/2018 4:50,8/27/2018 5:40,0:49:40,incoming
3773,424-338-1888,426-342-4940,5/9/2018 13:54,5/9/2018 13:54,0:00:00,missed call
3774,381-589-4551,426-342-4940,2/23/2017 15:11,2/23/2017 15:11,0:00:00,missed call
3775,209-935-3693,424-338-1888,5/4/2018 18:32,5/4/2018 18:32,0:00:00,missed call
3776,931-318-8690,424-338-1888,8/16/2017 4:30,8/16/2017 4:30,0:00:00,missed call
3777,209-935-3693,426-342-4940,2/24/2019 8:26,2/24/2019 8:26,0:00:00,missed call
3778,957-659-2812,209-935-3693,8/15/2018 0:37,8/15/2018 0:37,0:00:00,missed call
3779,320-924-6906,825-843-6648,1/9/2019 13:13,1/9/2019 13:24,0:10:46,outgoing
3780,931-318-8690,426-342-4940,2/19/2018 8:11,2/19/2018 9:07,0:55:39,outgoing
3781,320-924-6906,381-589-4551,3/15/2018 8:18,3/15/2018 8:18,0:00:00,missed call
3782,424-338-1888,757-336-8759,6/3/2018 12:25,6/3/2018 12:25,0:00:00,missed call
3783,381-589-4551,957-659-2812,10/24/2018 12:24,10/24/2018 13:03,0:39:09,outgoing
3784,931-318-8690,757-336-8759,6/19/2018 2:27,6/19/2018 3:10,0:43:08,incoming
3785,825-843-6648,381-589-4551,12/28/2017 17:52,12/28/2017 17:52,0:00:00,missed call
3786,320-924-6906,424-338-1888,1/1/2019 2:33,1/1/2019 3:32,0:59:08,incoming
3787,422-733-0037,957-659-2812,5/17/2019 10:33,5/17/2019 11:13,0:40:10,incoming
3788,757-336-8759,381-589-4551,3/7/2018 9:57,3/7/2018 10:46,0:49:05,outgoing
3789,957-659-2812,931-318-8690,5/19/2017 18:55,5/19/2017 19:04,0:09:18,outgoing
3790,424-338-1888,957-659-2812,5/10/2017 6:39,5/10/2017 6:39,0:00:00,missed call
3791,320-924-6906,957-659-2812,3/23/2018 14:03,3/23/2018 14:32,0:28:52,outgoing
3792,422-733-0037,426-342-4940,2/7/2018 10:57,2/7/2018 10:57,0:00:00,missed call
3793,320-924-6906,209-935-3693,12/14/2017 0:29,12/14/2017 1:17,0:48:27,incoming
3794,957-659-2812,209-935-3693,7/11/2017 5:03,7/11/2017 5:51,0:48:05,outgoing
3795,757-336-8759,825-843-6648,10/1/2018 11:31,10/1/2018 11:31,0:00:00,missed call
3796,424-338-1888,320-924-6906,4/10/2018 23:18,4/10/2018 23:18,0:00:00,missed call
3797,381-589-4551,931-318-8690,3/27/2019 11:30,3/27/2019 12:17,0:47:20,outgoing
3798,931-318-8690,757-336-8759,11/17/2017 14:08,11/17/2017 14:29,0:21:33,outgoing
3799,424-338-1888,957-659-2812,8/8/2017 17:55,8/8/2017 18:53,0:58:05,incoming
3800,931-318-8690,424-338-1888,2/17/2018 15:16,2/17/2018 15:16,0:00:00,missed call
3801,320-924-6906,209-935-3693,5/18/2017 9:00,5/18/2017 9:00,0:00:00,missed call
3802,381-589-4551,422-733-0037,1/14/2018 18:01,1/14/2018 18:01,0:00:00,missed call
3803,320-924-6906,757-336-8759,1/15/2017 8:45,1/15/2017 9:26,0:41:23,incoming
3804,424-338-1888,957-659-2812,5/12/2018 6:18,5/12/2018 6:59,0:40:32,outgoing
3805,931-318-8690,381-589-4551,1/27/2019 14:50,1/27/2019 15:13,0:23:08,outgoing
3806,422-733-0037,381-589-4551,1/26/2017 11:53,1/26/2017 12:51,0:58:03,incoming
3807,209-935-3693,320-924-6906,10/1/2017 7:48,10/1/2017 7:48,0:00:00,missed call
3808,825-843-6648,209-935-3693,6/10/2017 21:13,6/10/2017 21:33,0:20:32,incoming
3809,957-659-2812,422-733-0037,1/10/2017 15:51,1/10/2017 16:01,0:09:49,incoming
3810,209-935-3693,320-924-6906,1/14/2018 12:39,1/14/2018 13:12,0:33:19,incoming
3811,931-318-8690,957-659-2812,6/18/2017 16:55,6/18/2017 17:36,0:40:29,outgoing
3812,424-338-1888,931-318-8690,12/5/2017 2:34,12/5/2017 3:34,0:59:41,outgoing
3813,424-338-1888,320-924-6906,5/20/2019 8:43,5/20/2019 9:29,0:46:36,incoming
3814,424-338-1888,381-589-4551,11/15/2018 22:32,11/15/2018 22:34,0:02:26,incoming
3815,209-935-3693,825-843-6648,8/16/2018 9:02,8/16/2018 9:02,0:00:00,missed call
3816,931-318-8690,209-935-3693,2/19/2017 13:55,2/19/2017 14:02,0:06:58,incoming
3817,320-924-6906,957-659-2812,4/25/2017 8:34,4/25/2017 8:42,0:08:33,outgoing
3818,426-342-4940,931-318-8690,11/14/2018 17:12,11/14/2018 17:34,0:22:03,outgoing
3819,931-318-8690,426-342-4940,6/28/2018 6:29,6/28/2018 6:47,0:18:03,incoming
3820,422-733-0037,426-342-4940,5/11/2018 12:45,5/11/2018 13:14,0:28:59,outgoing
3821,209-935-3693,931-318-8690,2/8/2018 18:48,2/8/2018 18:48,0:00:00,missed call
3822,422-733-0037,825-843-6648,10/20/2017 6:40,10/20/2017 7:36,0:56:34,incoming
3823,422-733-0037,757-336-8759,3/2/2019 4:29,3/2/2019 5:23,0:54:03,incoming
3824,422-733-0037,320-924-6906,3/25/2017 16:31,3/25/2017 16:31,0:00:00,missed call
3825,381-589-4551,825-843-6648,2/24/2017 21:21,2/24/2017 21:21,0:00:00,missed call
3826,426-342-4940,209-935-3693,8/3/2018 5:28,8/3/2018 6:01,0:32:48,outgoing
3827,757-336-8759,426-342-4940,4/6/2019 8:25,4/6/2019 9:24,0:59:34,incoming
3828,381-589-4551,825-843-6648,2/9/2018 3:29,2/9/2018 4:00,0:30:30,outgoing
3829,757-336-8759,422-733-0037,4/15/2018 17:56,4/15/2018 18:30,0:34:01,outgoing
3830,757-336-8759,381-589-4551,9/20/2018 21:17,9/20/2018 22:09,0:52:31,outgoing
3831,931-318-8690,957-659-2812,11/15/2018 11:07,11/15/2018 11:26,0:19:30,outgoing
3832,931-318-8690,320-924-6906,8/12/2017 5:25,8/12/2017 5:25,0:00:00,missed call
3833,422-733-0037,381-589-4551,4/21/2018 23:35,4/22/2018 0:16,0:40:31,outgoing
3834,422-733-0037,209-935-3693,2/11/2019 4:16,2/11/2019 4:40,0:24:48,outgoing
3835,320-924-6906,757-336-8759,4/22/2019 9:30,4/22/2019 10:25,0:54:57,outgoing
3836,209-935-3693,757-336-8759,11/20/2017 21:48,11/20/2017 22:01,0:13:39,outgoing
3837,320-924-6906,825-843-6648,1/28/2019 13:06,1/28/2019 13:26,0:19:38,incoming
3838,422-733-0037,426-342-4940,2/3/2019 0:11,2/3/2019 0:26,0:15:07,incoming
3839,209-935-3693,426-342-4940,6/1/2018 18:15,6/1/2018 18:15,0:00:00,missed call
3840,825-843-6648,757-336-8759,7/5/2018 17:16,7/5/2018 18:10,0:53:48,outgoing
3841,209-935-3693,931-318-8690,2/19/2018 23:27,2/19/2018 23:31,0:03:29,outgoing
3842,209-935-3693,757-336-8759,11/17/2018 20:29,11/17/2018 20:29,0:00:00,missed call
3843,424-338-1888,381-589-4551,8/3/2017 4:35,8/3/2017 4:35,0:00:00,missed call
3844,426-342-4940,424-338-1888,12/29/2018 8:22,12/29/2018 8:22,0:00:00,missed call
